id,role,description,company,location,Stipend,Duration,Skills,Perks
5f9fc395fb43357b9094a463,Digital Marketing,"The Digital Marketing Intern will provide essential support and hands-on experience in the related field involving the following skills: Computer Networking, Digital Marketing, Accounting, Financial Modeling, Client Relationship, Certificate, Letter of recommendation, Flexible work hours, 5 days a week.",Ridge Info Technology,"[""Chennai"", ""600001""]",2000-7000 /month,1 Month,"[""Computer Networking"", ""Digital Marketing"", ""Accounting"", ""Financial Modeling"", ""Client Relationship"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc395fb43357b9094a464,Graphic Design,"The Graphic Design Intern will provide essential support and hands-on experience in the related field involving the following skills: Adobe Photoshop, MS-Word, MS-PowerPoint, Email Marketing, Video Making, Copywriting, English Proficiency (Spoken), English Proficiency (Written), Figma, Certificate, Informal dress code, Free snacks & beverages, Job offer.",CIOC FMCG Private Limited,"[""Bangalore"", ""560001""]",15000 /month,3 Months,"[""Adobe Photoshop"", ""MS-Word"", ""MS-PowerPoint"", ""Email Marketing"", ""Video Making"", ""Copywriting"", ""English Proficiency (Spoken)"", ""English Proficiency (Written)"", ""Figma"", ""Certificate""]",Internship with job offer; Certificate
5f9fc396fb43357b9094a465,Business Development (Sales),"The Business Development (Sales) Intern will provide essential support and hands-on experience in the related field involving the following skills: MS-Office, MS-Word, MS-PowerPoint, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Job offer.",Intrisus Corporation,"[""Gurgaon"", ""122001""]",4000 /month,3 Months,"[""MS-Office"", ""MS-Word"", ""MS-PowerPoint"", ""Certificate"", ""Letter of recommendation""]",Internship with job offer; Certificate
5f9fc397fb43357b9094a466,Marketing,"The Marketing Intern will provide essential support and hands-on experience in the related field involving the following skills: Letter of recommendation, 5 days a week.",Icecreamlabs,"[""Gurgaon"", ""122001""]",10000 /month,2 Months,"[""Letter of recommendation""]",Internship
5f9fc398fb43357b9094a467,Digital Marketing,"The Digital Marketing Intern will provide essential support and hands-on experience in the related field involving the following skills: Social Media Marketing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week.",Deepak Menon,"[""Bangalore"", ""560001""]",5000 /month,6 Months,"[""Social Media Marketing"", ""Digital Marketing"", ""English Proficiency (Spoken)"", ""English Proficiency (Written)"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc399fb43357b9094a468,Graphic Design,"The Graphic Design Intern will provide essential support and hands-on experience in the related field involving the following skills: MS-Office, Adobe Creative Suite, Facebook Marketing, Instagram Marketing, Certificate, Letter of recommendation, 5 days a week, Job offer.",OKR Edge,"[""Bangalore"", ""560001""]",20000 /month,6 Months,"[""MS-Office"", ""Adobe Creative Suite"", ""Facebook Marketing"", ""Instagram Marketing"", ""Certificate"", ""Letter of recommendation""]",Internship with job offer; Certificate
5f9fc39afb43357b9094a469,GIS Engineering,"The GIS Engineering Intern will provide essential support and hands-on experience in the related field involving the following skills: Python, Certificate, Informal dress code, Job offer.",Satyukt Analytics Private Limited,"[""Bangalore"", ""560001""]",10000 /month,6 Months,"[""Python"", ""Certificate""]",Internship with job offer; Certificate
5f9fc39afb43357b9094a46a,Communications,"The Communications Intern will provide essential support and hands-on experience in the related field involving the following skills: English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, 5 days a week.",GiveIndia,"[""Chennai"", ""600001""]",5000 /month,2 Months,"[""English Proficiency (Spoken)"", ""English Proficiency (Written)"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc39bfb43357b9094a46b,Operations,"The Operations Intern will provide essential support and hands-on experience in the related field involving the following skills: Informal dress code, 5 days a week.",BetterPlace,"[""Bangalore"", ""560001""]",10000 /month,3 Months,[],Internship
5f9fc39dfb43357b9094a46c,Business Development (Sales),"The Business Development (Sales) Intern will provide essential support and hands-on experience in the related field involving the following skills: Digital Marketing, Facebook Marketing, Email Marketing, Instagram Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week.",ELAMIGO E-COM PRIVATE LIMITED,"[""Kolkata"", ""700001""]",21000 lump sum,3 Months,"[""Digital Marketing"", ""Facebook Marketing"", ""Email Marketing"", ""Instagram Marketing"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc39efb43357b9094a46d,Web Development,"The Web Development Intern will provide essential support and hands-on experience in the related field involving the following skills: PHP, HTML, CSS, WordPress, Certificate, Letter of recommendation, Flexible work hours, Informal dress code.",Buzet,"[""Bangalore"", ""560001""]",10000 /month,3 Months,"[""PHP"", ""HTML"", ""CSS"", ""WordPress"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc39ffb43357b9094a46e,Business Development (Sales),"The Business Development (Sales) Intern will provide essential support and hands-on experience in the related field involving the following skills: MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, Informal dress code, 5 days a week.",UCPro LLP,"[""Bangalore"", ""560001""]",6000-8000 /month,6 Months,"[""MS-Excel"", ""English Proficiency (Spoken)"", ""English Proficiency (Written)"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc39ffb43357b9094a46f,Customer Service,"The Customer Service Intern will provide essential support and hands-on experience in the related field involving the following skills: Bengali Proficiency (Spoken), English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Tamil Proficiency (Spoken), Tamil Proficiency (Written), Kannada Proficiency (Spoken), Kannada Proficiency (Written), Bengali Proficiency (Written), Certificate, Informal dress code.",India Manpower Solutions,"[""Bangalore"", ""560001""]",12000 /month,3 Months,"[""Bengali Proficiency (Spoken)"", ""English Proficiency (Spoken)"", ""English Proficiency (Written)"", ""Hindi Proficiency (Spoken)"", ""Hindi Proficiency (Written)"", ""Tamil Proficiency (Spoken)"", ""Tamil Proficiency (Written)"", ""Kannada Proficiency (Spoken)"", ""Kannada Proficiency (Written)"", ""Bengali Proficiency (Written)"", ""Certificate""]",Internship; Certificate
5f9fc3a0fb43357b9094a470,Field Visit/Site Visit,The Field Visit/Site Visit Intern will provide essential support and hands-on experience in the related field involving the following skills: Certificate.,Biltrax Construction Data,"[""Gurgaon"", ""122001""]",2000 /week +  Incentives,2 Weeks,"[""Certificate""]",Internship; Certificate
